,Unnamed: 0,Participant,Block,Condition,Trial,RT,Correct,Orientation,Agegr,Sacstart,Sacend,Sacduration,Xstart,Ystart,Xend,Yend,Amplitude,Velocity,Larger,Duration
412,477,1,26,dAV,61,0.72,1,0,Young,260,333,74,640.1,683.5,800.0,292.7,10.08,480,False,0.021
413,478,1,26,dAV,62,0.976,1,0,Young,860,983,124,812.1,296.0,829.9,737.4,10.85,183,True,0.0592896174863388
414,479,1,26,dAV,63,0.719,1,0,Young,16,169,154,816.3,509.8,757.4,469.7,1.47,280,False,0.00525
415,480,1,26,dAV,64,0.605,1,0,Young,352,399,48,769.6,482.7,878.7,309.2,4.82,348,False,0.01385057471264368
416,481,1,27,A,49,2.087,0,0,Young,827,882,56,894.4,293.4,822.3,486.9,5.06,257,False,0.01968871595330739
417,482,1,27,A,50,1.322,0,0,Young,307,370,64,876.1,257.6,910.9,618.8,9.04,355,False,0.025464788732394363
418,483,1,27,A,51,1.978,1,0,Young,517,586,70,916.9,645.8,905.2,241.2,10.09,552,False,0.018278985507246378
419,484,1,27,A,52,0.894,1,0,Young,176,273,98,250.3,1436.2,912.0,413.0,24.47,762,False,0.03211286089238845
420,485,1,27,A,53,3.056,1,0,Young,378,432,55,920.5,414.0,882.0,326.8,2.33,234,False,0.009957264957264957
421,486,1,27,A,54,0.848,1,0,Young,10,62,53,869.6,532.9,859.6,409.4,3.09,238,False,0.012983193277310923
422,487,1,27,A,55,7.502,0,0,Young,305,328,24,864.1,375.6,864.0,256.2,3.05,289,False,0.010553633217993078
423,488,1,27,A,56,0.78,1,0,Young,919,981,63,875.6,289.3,871.4,500.1,5.32,248,False,0.02145161290322581
424,489,1,27,A,57,1.682,1,0,Young,81,105,25,905.5,233.0,795.2,202.4,2.2,159,False,0.013836477987421384
425,490,1,27,A,58,3.107,0,0,Young,339,363,25,807.7,222.9,922.3,228.9,2.15,189,False,0.011375661375661376
